 ,X,Y
709,192.500,185.000
710,459.000,184.500
711,465.000,184.500
712,503.000,184.500
713,561.000,184.500
714,593.500,184.500
715,603.500,186.500
716,31.000,186.500
717,19.000,189.500
718,164.167,189.417
719,49.000,190.000
720,197.500,189.500
721,479.000,190.500
722,89.000,191.000
723,462.833,190.833
724,513.000,191.000
725,63.000,191.500
726,545.000,191.500
727,97.800,193.300
728,120.000,193.500
729,162.000,193.000
730,174.000,192.500
731,126.500,194.500
732,169.000,195.500
733,9.000,196.000
734,179.500,196.000
735,112.600,198.500
736,119.400,198.300
737,499.800,199.300
738,511.000,198.000
739,102.000,199.000
740,161.667,199.167
741,15.000,199.500
742,146.000,199.500
743,126.333,201.667
744,152.000,201.500
745,186.000,202.000
746,192.250,201.250
747,456.500,200.500
748,473.714,202.000
749,625.000,200.500
750,1.667,202.500
751,289.500,201.500
752,511.000,202.500
753,607.000,203.000
754,502.500,204.625
755,457.000,205.500
756,193.000,206.000
757,69.000,207.000
758,79.000,206.500
759,130.000,207.000
760,179.500,207.500
761,639.000,207.000
762,11.000,207.500
763,143.000,207.500
764,479.000,207.500
765,511.000,207.500
766,507.000,209.500
767,455.444,212.389
768,461.000,210.500
769,23.000,212.000
770,184.000,212.000
771,481.000,211.500
772,70.000,213.500
773,79.000,213.500
774,178.000,215.000
775,459.714,218.714
776,159.000,215.500
777,168.000,215.500
778,501.000,215.500
779,10.077,218.115
780,31.000,216.500
781,113.000,217.000
782,127.000,217.000
783,537.500,217.500
784,562.000,216.500
785,639.000,217.000
786,61.000,218.500
787,170.000,218.833
788,177.000,219.000
789,476.600,218.900
790,583.000,218.500
791,154.000,221.200
792,50.600,220.900
793,119.000,220.500
794,527.000,222.000
795,465.439,225.500
796,610.000,221.500
797,625.000,223.500
798,17.000,223.500
799,63.000,223.500
800,127.000,223.500
801,170.200,223.900
802,477.000,223.500
803,544.000,224.000
804,72.000,225.000
805,96.500,224.500
806,17.000,225.500
807,161.000,225.500
808,185.000,226.000
809,1.667,228.000
810,81.000,226.500
811,19.000,228.000
812,125.000,228.000
813,175.800,229.500
814,181.000,228.500
815,33.000,229.500
816,165.250,230.375
817,467.611,231.972
818,458.700,231.100
819,484.167,231.917
820,29.000,231.500
821,93.000,231.500
822,129.000,231.500
823,368.900,232.300
824,560.000,231.500
825,33.000,232.500
826,39.000,232.500
827,110.000,232.500
828,171.000,232.500
829,497.000,232.500
830,625.000,232.750
831,97.000,233.500
832,151.545,235.773
833,178.500,233.500
834,380.500,233.500
835,1.000,234.500
836,494.333,234.833
837,601.000,234.500
838,616.000,236.000
839,17.667,237.167
840,102.333,237.167
841,165.667,238.500
842,488.905,239.024
843,639.000,237.000
844,35.100,238.300
845,175.750,239.500
846,501.500,238.750
847,477.000,239.000
848,549.000,239.000
849,47.500,239.500
850,111.000,239.500
851,157.000,239.500
852,511.000,239.500
853,559.000,239.500
854,609.500,239.500
855,1.000,240.500
856,62.000,240.500
857,126.000,240.500
858,145.857,241.786
859,578.000,240.500
860,11.000,244.000
861,463.083,246.500
862,1.667,245.667
863,158.143,246.214
864,136.000,245.500
865,167.000,246.786
866,473.000,246.567
867,114.000,247.500
868,497.500,248.500
869,590.000,247.500
870,27.000,248.500
871,42.000,249.500
872,49.167,249.167
873,65.357,248.786
874,81.500,248.500
875,476.714,250.286
876,491.000,249.500
877,524.529,251.794
878,593.500,248.500
879,72.111,252.056
880,97.423,251.346
881,603.667,250.167
882,92.000,250.500
883,121.000,251.500
884,62.500,252.500
885,165.000,252.000
886,506.000,252.900
887,536.000,252.000
888,591.000,253.000
889,85.000,254.500
890,158.111,255.278
891,177.000,253.500
892,496.333,255.333
893,545.500,254.875
894,596.333,253.833
895,31.000,255.000
896,126.000,255.000
897,78.000,255.500
898,96.429,256.500
899,114.200,256.500
900,174.300,256.767
901,607.000,255.500
902,17.000,256.750
903,50.000,256.500
904,64.000,256.500
905,107.000,257.000
906,147.000,256.500
907,560.500,256.500
908,571.000,256.500
909,27.000,258.500
910,79.000,258.500
911,86.636,260.682
912,126.333,258.833
913,167.667,260.167
914,503.000,260.000
915,66.500,261.250
916,114.000,261.625
917,465.500,261.500
918,623.000,262.500
919,7.000,263.000
920,30.333,263.167
921,37.667,263.167
922,95.000,263.000
923,103.000,263.250
924,3.000,263.500
925,48.000,263.500
926,63.000,263.500
927,127.000,263.833
928,147.000,263.500
929,498.600,264.100
930,518.000,263.500
931,17.000,264.500
932,57.667,264.833
933,81.100,265.700
934,90.200,265.300
935,110.000,265.000
936,173.000,264.500
937,465.000,264.500
938,491.000,264.500
939,639.000,264.500
940,75.500,266.500
941,97.500,265.500
942,140.429,266.500
943,180.200,268.200
944,167.750,267.875
945,58.750,268.625
946,527.000,267.500
947,65.857,269.786
948,129.500,269.500
949,158.000,269.000
950,20.333,269.833
951,502.158,274.842
952,95.857,271.500
953,175.000,271.500
954,77.000,271.500
955,137.400,272.500
956,639.000,271.500
957,27.000,272.500
958,39.000,272.500
959,50.000,272.500
960,117.400,272.900
961,127.000,273.000
962,164.048,274.643
963,562.000,272.500
964,1.000,273.500
965,17.250,274.250
966,4.455,278.136
967,47.000,274.500
968,107.000,275.000
969,514.000,275.000
970,103.000,276.000
971,145.000,276.000
972,154.000,276.000
973,183.000,276.000
974,128.200,278.100
975,139.667,277.167
976,466.333,277.333
977,21.000,278.500
978,39.000,277.500
979,97.667,277.833
980,15.000,278.500
981,119.167,280.167
982,33.000,279.500
983,47.000,279.500
984,82.000,279.500
985,593.500,279.500
986,607.000,279.500
987,613.000,279.500
988,65.000,281.500
989,94.429,281.929
990,111.000,281.500
991,130.000,281.000
992,138.000,280.500
993,153.875,281.875
994,179.375,283.958
995,531.000,280.500
996,546.000,280.500
997,618.000,280.500
